event_id,division_canon,parsed_places,parsed_max_place
1000071985,Gents Open Freestyle,8,8
1000071985,Ladies Open Freestyle,3,3
1001076203,Double,6,5
1001076203,Men's Singles,9,9
1001076203,Single,5,5
1001076203,Women's Singles,1,1
1001076315,Intermediate Doubles Net,6,6
1001076315,Intermediate Freestyle,10,9
1001076315,Intermediate Singles Net,6,6
1001076315,Pro Doubles Net,6,6
1001076315,Pro Freestyle,6,6
1001076315,Pro Singles Net,6,6
1001942070,30 Second Shred - Intermediate,1,3
1001942070,30 Second Shred ? Intermediate,2,2
1001942070,30 Second Shred ? Open,3,3
1001942070,Golf,3,3
1001942070,Intermediate,5,3
1001942070,Intermediate Freestyle,3,3
1001942070,Mixed Doubles Net,2,2
1001942070,Open,6,3
1001942070,Open Freestyle,3,3
1001942070,Women's Singles Net,2,2
1004370976,Freestyle 2-Min,3,3
1004370976,Sick-3 Contest,3,3
1005667143,Intermediate Big Trick,3,3
1005667143,Intermediate Shred,3,3
1005667143,Open Huge Combo,2,3
1005667143,Open Ironman,1,1
1005667143,Open Shred,3,3
1011291051,Intermediate Singles,9,9
1011291051,Intermédiate Doubles,3,3
1011291051,Open Doubles,11,11
1011291051,Open Singles,16,15
1011324897,Intermediate Routines,3,3
1011324897,Intermediate Shred,3,3
1011324897,Open Routines,3,3
1011324897,Open Shred,3,3
1011556608,Intermediate Doubles Net,3,3
1011556608,Ladies Freestyle,3,3
1011556608,Open Doubles Net,2,2
1011556608,Open Freestyle,3,3
1011556608,Sick 3 Contest,3,3
1012638214,Intermediate Freestyle,6,6
1012638214,Intermediate Singles Net,4,4
1012638214,Open Doubles Freestyle,1,1
1012638214,Open Doubles Net,14,14
1012638214,Open Mixed Doubles Net,8,8
1012638214,Open Shred:30 Freestyle,7,7
1012638214,Open Sick 3-Trick Combo,3,3
1012638214,Open Singles Freestyle,9,9
1012638214,Open Singles Net,15,15
1012638214,Women's Doubles Net,4,3
1012638214,Women's Singles Net,6,6
1013283071,Open Doubles Net,16,18
1013283071,Open Mixed Doubles Net,12,12
1013283071,Open Singles Net,25,28
1013283071,Open Singles Routines,10,10
1013283071,Women's Doubles Net,6,6
1013283071,Women's Singles Net,9,10
1015303046,Intermediate Doubles Net,2,2
1015303046,Mixed Doubles Net,3,3
1015303046,Open Doubles Net,5,5
1016457376,Intermediate,5,5
1016457376,Novice,8,4
1016457376,Shred 30,8,5
1016457376,Sick One,1,1
1018812342,30Sec Shred,3,3
1018812342,Doubles Freestyle,5,5
1018812342,Girl's Freestyle,8,3
1018812342,Intermediate Freestyle,11,12
1018812342,Open Freestyle,8,8
1018812342,Sick 3,3,3
1018925821,Impromptu Sick 3,3,3
1018925821,Last Man Standing,1,1
1019193491,Intermediate Freestyle,9,8
1019193491,Open Freestyle,8,8
1021665982,Intermediate,11,8
1021665982,Novice,42,10
1021665982,Phat Trick,2,2
1022992222,Intermediate Shred 30,3,3
1022992222,Open Shred 30,3,3
1022992222,Open Sick 3,1,1
1024091202,***Intermediate Freestyle,3,3
1024091202,***Junior Freestyle,3,3
1024091202,***Open Freestyle,6,6
1024091202,***Women's Freestyle,2,2
1025084282,Beginner 60 Sec,3,3
1025084282,Intermediate 1Min 30 Sec,6,6
1027925383,Intermediate Doubles Net,3,3
1027925383,Intermediate Freestyle,10,10
1027925383,Intermediate Singles Net,3,3
1027925383,Open Doubles Net,8,8
1027925383,Open Freestyle,12,12
1027925383,Open Singles Net,8,8
1028218784,30 Second Shred,6,6
1028218784,Intermediate Doubles Net,3,3
1028218784,Intermediate Freestyle,3,3
1028218784,Intermediate Golf,4,3
1028218784,Intermediate One Minute Consecutives,1,1
1028218784,Intermediate Singles Net,5,5
1028218784,Mixed Doubles Net,3,3
1028218784,Pro Doubles Net,4,4
1028218784,Pro Freestyle,6,6
1028218784,Pro Golf,7,5
1028218784,Pro One Minute Consecutives,5,4
1028218784,Pro Singles Net,6,6
1028233308,Intermediate Flow Freestyle,5,5
1028233308,Intermediate Freestyle Routines,7,7
1028233308,Intermediate Shred :30 Contest,1,1
1028233308,Novice 3 Minute Consecutives,6,6
1028233308,Novice Circle Jamz,6,6
1028233308,Pro Flow Freestyle,3,3
1028233308,Pro Shred :30 Contest,3,3
1028800969,Doubles Net Open,8,8
1028800969,Singles Freestyle Open,6,6
1028800969,Singles Net Open,9,9
1029347412,Battle,1,1
1029347412,Sick 3,1,1
1030830356,Intermediate Single Freestyle,12,12
1030830356,Open Double Net,4,3
1030830356,Open Shred,12,12
1030830356,Open Single Freestyle,8,8
1030830356,Open Single Net,4,3
1030830356,Open Women Single Freestyle,2,2
1030830356,Sick 3 At 3Am In The Bar,3,3
1030830356,Team Freestyle,2,2
1030830356,Unknown,5,5
1031334528,Doubles Net- Intermediate,4,4
1031334528,Doubles Net- Novice,4,4
1031334528,Freestyle – Novice,2,2
1031334528,Freestyle-Amateur,5,5
1031334528,Golf -Amateur,5,5
1031334528,Master’S Singles Net,4,4
1031334528,Pro Doubles Net,4,4
1031334528,Pro Freestyle- Single,6,5
1031334528,Pro Golf,4,4
1031334528,Pro Single Net,5,5
1031334528,Singles Net- Intermediate,5,5
1031334528,Singles Net- Novice,4,4
1032472601,Intermediate Shred 30,5,5
1032472601,Novice,3,3
1032472601,Open Shred 30,5,5
1032602594,Freestyle Routines,6,6
1032602594,Routines,3,3
1032602594,Shred 30,3,3
1032602594,Sick 3,3,3
1034985978,Intermediate Singles Freestyle,3,3
1034985978,Novice Singles Net,3,3
1034985978,Open Doubles Net,3,3
1034985978,Open Singles Freestyle,3,3
1034985978,Open Singles Net,3,3
1034985978,Shred 30 Champion,3,3
1034985978,Sick Trick,1,1
1035277529,Intermediate Doubles Net,25,13
1035277529,Intermediate Singles Freestyle,6,6
1035277529,Intermediate Singles Net,41,21
1035277529,Mixed Doubles Freestyle,3,3
1035277529,Mixed Doubles Net,7,5
1035277529,Open Doubles Freestyle,6,6
1035277529,Open Doubles Net,20,11
1035277529,Open Shred:30,9,9
1035277529,Open Singles Freestyle,10,10
1035277529,Open Singles Net,33,17
1035277529,Sick 3,9,9
1035277529,Women's Open Doubles Net,4,4
1035277529,Women's Open Singles Net,7,7
1035277529,Women's Shred:30,6,6
1035277529,Women's Singles Freestyle,6,6
1035817350,Freestyle Singles,5,5
1035817350,Sick 3,3,3
1036298726,Intermediate Shred 30,5,5
1036298726,Open Big 3,6,6
1036298726,Open Most Rippin' Run,8,5
1036298726,Open Shred 30,10,10
1036298726,Sick Trick,9,5
1036298726,Women's Shred 30,3,3
1036653244,Intermediate 30 Second Shred,6,3
1036653244,Open 30 Second Shred,3,3
1038895913,1 Minute Intermediate Freestyle,5,5
1038895913,2 Minute Open Freestyle,6,6
1038895913,30 Second Shred,5,5
1038895913,Sick 3 - Intermediate,3,3
1038895913,Sick 3 - Open,5,5
1038895913,Unknown,3,3
1039550946,Intermediate Doubles Net,2,2
1039550946,Intermediate Singles Net,2,2
1039550946,Novice Singles Net,2,2
1039550946,Open Doubles Net,3,3
1039550946,Open Singles Net,4,3
1039550946,Women Singles Net,2,2
1041241196,Girls Freestyle,3,3
1041241196,Intermediate Freestyle,3,3
1041241196,Open Freestyle,3,3
1042821772,Intermediate Doubles Net,2,2
1042821772,Intermediate Singles Freestyle 33 Player,32,31
1042821772,Intermediate Singles Net,1,1
1042821772,Open Doubles Freestyle 6 Teams,6,5
1042821772,Open Doubles Net,4,4
1042821772,Open Singles Freestyle 38 Player,37,36
1042821772,Open Singles Freestyle Women 15 Player,15,13
1042821772,Open Singles Net,4,4
1042821772,Shred Contest 12 Player,12,12
1042821772,Sick 3,3,3
1043096425,Advanced Doubles Net,3,3
1043096425,Doubles Consecutive,3,3
1043096425,Footbag Freestyle,3,3
