event_id,year,event_name,division,source_count,canonical_count,source_max_place,canonical_max_place,is_source_partial,canonical_div_matched,match_score
1001076203,2001,3ème Open de France de Footbag,Double,7,5,5,5,False,Double,1.0
1001942070,2001,Texas State Footbag Championships,30 Second Shred - Intermediate,3,2,3,2,True,30 Second Shred ? Intermediate,0.966
1011291051,2002,Quebec City Footbag Net Championships 2002,Open Singles,17,16,15,15,False,Open Singles,1.0
1011556608,2002,FOOTJAM meets 3BORDERSCUP,Open Freestyle,3,2,3,3,False,Open Freestyle,1.0
1012638214,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Singles Net,15,13,15,15,False,Open Singles Net,1.0
1012638214,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Doubles Net,14,12,14,14,False,Open Doubles Net,1.0
1013283071,2002,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,Women's Doubles Net,6,4,6,5,False,Women's Doubles Net,1.0
1013283071,2002,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,Open Mixed Doubles Net,12,11,12,12,False,Open Mixed Doubles Net,1.0
1016457376,2002,Cinco de Mayo Footbag Fest,Novice,8,4,4,4,True,Novice,1.0
1016457376,2002,Cinco de Mayo Footbag Fest,Intermediate,10,8,5,5,True,Intermediate,1.0
1016457376,2002,Cinco de Mayo Footbag Fest,Shred 30,9,8,5,5,True,Shred 30,1.0
1018812342,2002,Czech Footbag Championships,Doubles Freestyle,5,4,5,4,True,Doubles Freestyle,1.0
1018812342,2002,Czech Footbag Championships,Girl's Freestyle,8,7,3,3,True,Girl's Freestyle,1.0
1021665982,2002,2002 East Coast Footbag Championships,Intermediate,12,10,8,8,True,Intermediate,1.0
1021665982,2002,2002 East Coast Footbag Championships,Phat Trick,3,2,2,2,True,Phat Trick,1.0
1025084282,2002,1st Queensland Footbag Challenge,Intermediate 1Min 30 Sec,6,5,6,6,False,Intermediate 1Min 30 Sec,1.0
1028233308,2002,US Open Freestyle Championships,Novice 3 Minute Consecutives,6,5,6,5,False,Novice 3 Minute Consecutives,1.0
1028800969,2002,3. Frankfurt Footbag Open,Doubles Net Open,8,4,8,4,False,Doubles Net Open,1.0
1028800969,2002,3. Frankfurt Footbag Open,Singles Net Open,9,8,9,8,False,Singles Net Open,1.0
1031334528,2003,Funtastik Summer Classic Footbag Tournament,Pro Freestyle- Single,5,4,5,5,False,Pro Freestyle- Single,1.0
1034985978,2003,2003 Canadian Open Footbag Championships,Shred 30 Champion,3,1,3,1,False,Shred 30 Champion,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Mixed Doubles Freestyle,3,6,3,3,False,Mixed Doubles Freestyle,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Open Doubles Freestyle,6,12,6,6,False,Open Doubles Freestyle,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Open Doubles Net,20,40,11,11,False,Open Doubles Net,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Mixed Doubles Net,7,14,5,5,False,Mixed Doubles Net,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Women's Open Doubles Net,4,8,4,4,False,Women's Open Doubles Net,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Intermediate Doubles Net,25,50,13,13,False,Intermediate Doubles Net,1.0
1038895913,2003,Seapa NZ Freestyle Footbag Championships,Unknown,4,3,5,3,False,Unknown,1.0
1038895913,2003,Seapa NZ Freestyle Footbag Championships,2 Minute Open Freestyle,7,6,6,6,False,2 Minute Open Freestyle,1.0
