event_id,event_name,year,source_jpg,notes
9905304,1980 World Footbag Championships,1980,,
9928572,1980 World Footbag Championships,1980,,
2001980001,World Championships 1980 (NHSA),1980,,
9966902,1981 World Footbag Championships,1981,,
9992129,1981 World Footbag Championships,1981,,
2001981001,World Championships 1981 (NHSA),1981,,
9901155,1982 World Footbag Championships,1982,,
9998504,1982 World Footbag Championships,1982,,
2001982001,World Championships 1982 (NHSA),1982,,
9921901,World Footbag Championships,1982,,
9904297,1983 World Footbag Championships,1983,,
9934528,Secret Underground Jam,1983,,
2001983001,World Championships 1983 (NHSA),1983,,
2001983002,World Championships 1983 (WFA),1983,,
9924417,1984 World Footbag Championships,1984,,
2001984001,World Championships 1984,1984,,
9984533,1985 Holiday Classic,1985,,
9972848,Floodbag Finals,1985,,
9918278,Greatest Lakes Footbag Open,1985,,
9958186,St. Valentines Day Footbag Massacre,1985,,
9980521,WFA Rocky Mountain Regionals,1985,,
9940469,Western National Indoor Footbag Freestyle Championship,1985,,
2001985001,World Championships 1985,1985,,
