person_id,person_canon,chains_total,chains_scored,avg_sequence_add,median_sequence_add,max_sequence_add,avg_avg_add,max_max_add,n_distinct_tricks,year_first,year_last,year_span,freestyle_placements,best_freestyle_place
fa005bba-9079-5b6a-9eec-592016d90f66,Greg Solis,2,2,15.0,15.0,22.0,3.572,4.0,7,2008,2008,0,2,4.0
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,1,1,18.0,18.0,18.0,3.6,4.0,6,2008,2008,0,8,1.0
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,8,8,10.875,11.5,18.0,3.658,6.0,19,2005,2012,7,30,1.0
32577a59-fe63-5834-9b4f-16f930fecfec,DANIEL CADAVID,2,2,10.5,10.5,18.0,3.3,4.0,6,2021,2021,0,0,
9f9142e1-95ac-511a-b996-7873698c7818,Kyle Hewitt,1,1,16.0,16.0,16.0,4.0,5.0,9,2007,2007,0,10,1.0
42cfb7b0-8f51-53ff-9721-f4ac4b909290,Brad Nelson,1,1,15.0,15.0,15.0,5.0,5.0,3,2002,2002,0,4,1.0
67f14498-b4d7-54f4-ad8a-3a4d95ccbd24,Jake Wren,1,1,15.0,15.0,15.0,5.0,5.0,4,2007,2007,0,7,1.0
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,2,2,12.5,12.5,15.0,5.0,6.0,5,2006,2013,7,34,1.0
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,5,4,9.5,9.5,15.0,3.416,6.0,18,2007,2015,8,56,1.0
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,8,8,9.0,8.5,15.0,3.917,5.0,16,2005,2007,2,15,1.0
4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,6,6,8.833,8.5,15.0,4.0,6.0,8,2007,2016,9,71,1.0
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,15,14,7.571,6.5,15.0,2.917,5.0,30,2008,2017,9,81,1.0
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,5,5,10.4,10.0,14.0,4.067,5.0,7,2006,2014,8,41,1.0
862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,3,3,7.333,6.0,14.0,2.556,5.0,8,2021,2021,0,1,1.0
21154756-b8d4-512e-872a-c5b206fac8d3,Marcin Staron,1,1,13.0,13.0,13.0,4.333,5.0,4,2009,2009,0,8,3.0
2fe08509-fcb3-5ecd-8828-40411bc4a036,Wojciech Jamski,1,1,13.0,13.0,13.0,4.333,5.0,3,2009,2009,0,6,4.0
82d0f2bd-ed68-5ec2-a31d-47889d537613,James Risden,1,1,13.0,13.0,13.0,3.25,5.0,4,2001,2001,0,2,1.0
da2cbc95-e09b-5a22-9baf-00e25552c9b6,Greg Nelson,1,1,13.0,13.0,13.0,4.333,5.0,3,2002,2002,0,31,1.0
e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,1,1,13.0,13.0,13.0,4.333,5.0,3,2002,2002,0,8,2.0
ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,3,3,13.0,13.0,13.0,4.333,5.0,8,2004,2004,0,12,2.0
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,4,4,12.0,12.0,13.0,4.0,5.0,7,2005,2007,2,23,1.0
0c1d57ac-f8a6-5c3e-a66f-eac82c8a5df4,Jindrich Smola,2,2,10.0,10.0,13.0,3.916,5.0,9,2008,2013,5,64,1.0
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,2,2,10.0,10.0,13.0,3.916,5.0,6,2006,2018,12,54,1.0
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,8,8,9.5,8.5,13.0,4.062,5.0,12,2007,2010,3,86,1.0
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,4,4,8.25,8.0,13.0,3.25,5.0,11,2012,2018,6,60,1.0
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,14,13,7.923,8.0,13.0,3.667,6.0,22,2004,2021,17,43,1.0
0d90bb3c-6c67-5057-9ac2-d85f9f94fa26,Alex Lopez,1,1,12.0,12.0,12.0,4.0,5.0,3,2012,2012,0,5,1.0
337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,1,1,12.0,12.0,12.0,4.0,4.0,5,2014,2014,0,31,1.0
34f17114-99b7-5320-b4ed-10a6813859ac,Jay Boychuk,1,1,12.0,12.0,12.0,4.0,5.0,4,2009,2009,0,25,1.0
70f84b64-5ac5-5082-91ac-8ad71f54b127,Leimar Salas,1,1,12.0,12.0,12.0,4.0,4.0,2,2021,2021,0,1,4.0
8fc44a4b-aa33-5106-8cc6-8f2303bf1b0e,Zac Jackson,1,1,12.0,12.0,12.0,3.0,4.0,6,2007,2007,0,4,2.0
b1905548-0ada-590b-8d3b-3264d4e49e99,Santeri Karvinen,1,1,12.0,12.0,12.0,4.0,5.0,4,2016,2016,0,54,1.0
c2c56323-1121-5a07-8416-5aca5fa1ce00,Johnny Sarah,1,1,12.0,12.0,12.0,4.0,5.0,4,2019,2019,0,16,1.0
da3fbe76-ba2d-51ee-a019-97e7ba93089a,Michal Ostrowski,1,1,12.0,12.0,12.0,4.0,4.0,4,2009,2009,0,26,1.0
e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,2,2,11.0,11.0,12.0,4.5,5.0,7,2007,2007,0,4,2.0
2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,4,4,10.0,11.0,12.0,3.334,4.0,4,2002,2008,6,45,1.0
0f51c65d-c889-5354-8cb7-21bef31c04ca,Jake Milofsky,1,1,11.0,11.0,11.0,3.667,4.0,3,2002,2002,0,10,1.0
2425d614-d376-5d98-b7fb-cb445d10792c,Dan Klokow,1,1,11.0,11.0,11.0,3.667,4.0,4,2001,2001,0,4,2.0
38c0f384-29fa-5cd9-b3e7-707e76e7aa9a,Andreas Hoffmann,1,1,11.0,11.0,11.0,3.667,4.0,4,2009,2009,0,14,2.0
3e78df68-5425-5d48-a88a-3bf59fe2934f,Matt Kemmer,1,1,11.0,11.0,11.0,3.667,4.0,4,2008,2008,0,27,1.0
70f7b4f9-e8e3-5a08-b540-0924c68a4b20,Olaf Piwowar,2,2,11.0,11.0,11.0,5.5,6.0,4,2009,2009,0,28,1.0
d5f5db2b-ce60-529e-a488-cf14e8dfdeee,Roman Huber,1,1,11.0,11.0,11.0,3.667,4.0,3,2018,2018,0,17,2.0
f07b9590-cb35-55ba-8277-3e9c15e177d0,Krystian Bubula,1,1,11.0,11.0,11.0,3.667,4.0,6,2015,2015,0,7,1.0
f825bd42-5056-55c5-8a4c-ba0788615e01,Ben Skaggs,1,1,11.0,11.0,11.0,3.667,5.0,2,2008,2008,0,3,2.0
fa9c1c3c-795a-5514-aa34-078539dd60be,Yuito Watanuki,1,1,11.0,11.0,11.0,3.667,4.0,3,2021,2021,0,1,7.0
fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,1,1,11.0,11.0,11.0,3.667,5.0,2,2004,2004,0,9,1.0
4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,2,2,10.5,10.5,11.0,4.334,5.0,3,2002,2003,1,34,1.0
c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,3,3,8.667,9.0,11.0,3.222,6.0,7,2006,2012,6,65,1.0
4e7d48ab-1639-5784-bf98-d936a3935489,Gray Chadwick,2,2,8.5,8.5,11.0,3.334,4.0,5,2007,2007,0,2,1.0
b6e28eb4-9de6-52a6-bde7-4ffaaa488933,Christoph Alexander,4,4,8.5,8.0,11.0,3.792,5.0,9,2021,2021,0,8,2.0
bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,2,2,8.5,8.5,11.0,3.334,5.0,7,2004,2007,3,48,1.0
1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,3,3,8.0,9.0,11.0,4.0,6.0,7,2005,2013,8,48,1.0
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,7,7,7.857,8.0,11.0,3.071,5.0,20,2008,2008,0,4,1.0
6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,6,6,7.833,8.0,11.0,3.306,5.0,10,2014,2018,4,62,1.0
2512e04d-9d40-5794-9807-5cbf616df0a6,Gielnicki Damian,2,2,7.5,7.5,11.0,2.834,5.0,7,2007,2007,0,4,1.0
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,2,2,7.0,7.0,11.0,3.5,6.0,6,2009,2009,0,58,1.0
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,10,10,6.7,7.0,11.0,2.867,6.0,20,2007,2007,0,12,3.0
0a33a41b-8363-572e-90a0-39ae1e107ede,Arek Stanek,1,1,10.0,10.0,10.0,5.0,6.0,2,2019,2019,0,6,2.0
1f864e5e-28bc-5370-8f30-49bc3c65c64c,Jeremy Masselis,1,1,10.0,10.0,10.0,3.333,4.0,6,2007,2007,0,22,1.0
457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,1,1,10.0,10.0,10.0,3.333,5.0,7,2007,2007,0,20,1.0
4d352728-74b6-51db-aa04-1cf6d24b7cc7,Damian Piechocki,1,1,10.0,10.0,10.0,5.0,5.0,3,2005,2005,0,12,1.0
6c5ddac5-178d-56b9-a514-ee66d1b24a16,Tony Whitney,1,1,10.0,10.0,10.0,3.333,4.0,3,2007,2007,0,1,1.0
8e2c07e2-aeb8-5325-be31-ffcc452944ec,Mikko Lepisto,1,1,10.0,10.0,10.0,5.0,5.0,4,2016,2016,0,65,1.0
aae53613-b61c-53cf-99ea-462a4e768430,Christophe Kabache,1,1,10.0,10.0,10.0,3.333,4.0,4,2021,2021,0,2,3.0
b0d9cc85-7974-55b2-918a-538fc48484e4,Saiid Shaheen,1,1,10.0,10.0,10.0,3.333,4.0,4,2021,2021,0,1,6.0
ba572db5-f29d-52b3-aedb-ee41a49a9930,Paully O'Reilly,1,1,10.0,10.0,10.0,3.333,4.0,3,2002,2002,0,3,2.0
cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,1,1,10.0,10.0,10.0,3.333,4.0,6,2006,2006,0,3,1.0
fee1cb85-f33e-525c-a1f1-7d7cf652d6d3,Michael Nielson,1,1,10.0,10.0,10.0,3.333,4.0,3,2006,2006,0,4,4.0
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,2,2,9.5,9.5,10.0,3.916,5.0,7,2013,2014,1,35,1.0
348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,2,2,9.0,9.0,10.0,3.0,5.0,8,2007,2007,0,6,1.0
d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,3,3,9.0,9.0,10.0,3.944,5.0,9,2003,2006,3,24,1.0
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,3,3,8.667,10.0,10.0,4.333,5.0,3,2013,2022,9,112,1.0
2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,4,4,8.5,8.5,10.0,3.125,5.0,10,2008,2008,0,2,6.0
ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,2,2,8.5,8.5,10.0,3.416,4.0,5,2004,2004,0,8,1.0
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,5,5,8.4,10.0,10.0,3.0,5.0,10,2006,2016,10,51,1.0
48268322-19d9-5180-aac2-241293167d21,Nick Landes,3,3,7.0,7.0,10.0,3.611,4.0,11,2004,2009,5,38,1.0
dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,3,3,7.0,6.0,10.0,2.944,4.0,7,2013,2021,8,19,1.0
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,3,3,6.667,5.0,10.0,3.333,5.0,10,2009,2012,3,44,1.0
0cddd9e7-73d7-57d8-a99a-1d401206165a,Nathan Bonslaver,1,1,9.0,9.0,9.0,4.5,5.0,4,2019,2019,0,22,1.0
126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,1,1,9.0,9.0,9.0,3.0,4.0,3,2003,2003,0,3,3.0
5c134542-d0b3-55f2-8c4c-413ccb2e9d15,Ilja Mitrofanov,1,1,9.0,9.0,9.0,4.5,5.0,2,2005,2005,0,11,1.0
60c41b2e-1175-5698-99b7-6e5ee25bec58,Daniel Meyer,1,1,9.0,9.0,9.0,3.0,4.0,4,2006,2006,0,5,2.0
66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,1,1,9.0,9.0,9.0,3.0,4.0,4,2002,2002,0,10,1.0
eb025239-b9ab-5cef-9307-7639f88a225a,Karim Daouk,1,1,9.0,9.0,9.0,4.5,5.0,5,2006,2006,0,27,1.0
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,2,2,8.5,8.5,9.0,3.5,4.0,5,2001,2003,2,19,1.0
62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,3,3,8.0,8.0,9.0,4.0,5.0,7,2004,2004,0,0,
ce7e0e5a-0d7f-542c-8d5d-fb4895184909,Max Kerkhoff,2,2,8.0,8.0,9.0,4.0,5.0,4,2004,2004,0,24,1.0
f52e0fe8-4eff-5532-9af4-14124f1e92ee,Matthias Lino Schmidt,3,3,7.333,8.0,9.0,3.667,6.0,16,2012,2013,1,35,1.0
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,2,2,7.0,7.0,9.0,2.334,5.0,10,2018,2018,0,79,1.0
8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,4,4,6.75,7.0,9.0,2.833,4.0,7,2017,2018,1,33,3.0
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,3,3,6.333,6.0,9.0,3.333,4.0,7,2006,2007,1,12,1.0
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,6,6,6.0,6.0,9.0,2.528,5.0,8,2004,2013,9,43,1.0
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,8,8,4.875,4.0,9.0,1.938,6.0,14,2006,2019,13,144,1.0
10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,1,1,8.0,8.0,8.0,4.0,5.0,4,2006,2006,0,39,1.0
1fe9531c-8c55-5926-a2c0-74476e4f5768,Jon Lee,1,1,8.0,8.0,8.0,2.667,4.0,4,2003,2003,0,4,1.0
256ba155-76d2-5920-b2d6-04d6ff39fab6,DANIEL BOYLE,1,1,8.0,8.0,8.0,4.0,4.0,2,2015,2015,0,13,1.0
2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,1,1,8.0,8.0,8.0,4.0,5.0,3,2005,2005,0,8,1.0
495fbdce-986d-523e-9b01-f699a035c4ef,Tomasz Wróbel,1,1,8.0,8.0,8.0,4.0,4.0,2,2005,2005,0,2,3.0
4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,1,1,8.0,8.0,8.0,4.0,4.0,2,2006,2006,0,14,1.0
542be6a9-3b5a-5374-961b-9de19c0def7a,Peter Irish,1,1,8.0,8.0,8.0,4.0,4.0,1,2003,2003,0,31,1.0
5c162da2-c670-5845-a3d6-a2ed097eb59b,Søren Nøhr Thomsen,1,1,8.0,8.0,8.0,4.0,4.0,2,2006,2006,0,4,1.0
5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,1,1,8.0,8.0,8.0,4.0,4.0,2,2006,2006,0,2,1.0
6814ebbf-d3d7-5489-b71b-9f4128847219,Cristoph Alexander,1,1,8.0,8.0,8.0,2.667,3.0,3,2019,2019,0,1,12.0
6e44e429-b91f-59b8-92f4-58a859a3c2f4,Jordan Chiu,1,1,8.0,8.0,8.0,4.0,4.0,3,2021,2021,0,2,3.0
7c17dac5-be0b-5fc2-a537-2c8d02be9019,Tobias Larsen,1,1,8.0,8.0,8.0,4.0,4.0,2,2006,2006,0,7,1.0
8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,1,1,8.0,8.0,8.0,4.0,5.0,2,2002,2002,0,26,1.0
9dea6e25-e6ab-5aeb-9f47-1f36fcf88d94,Josh Gayhart,1,1,8.0,8.0,8.0,4.0,5.0,4,2021,2021,0,12,1.0
9f78fe69-1a0c-57be-a6eb-2c8e08f6ceac,Allen Sneed,1,1,8.0,8.0,8.0,2.667,3.0,3,2021,2021,0,0,
a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,1,1,8.0,8.0,8.0,2.667,3.0,3,2002,2002,0,3,3.0
b7d020fd-3376-5224-9aa6-d56ae56ad9cb,Taishi Ishida,2,2,8.0,8.0,8.0,4.0,5.0,2,2014,2019,5,35,1.0
bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,1,1,8.0,8.0,8.0,2.667,3.0,5,2006,2006,0,4,1.0
bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,1,1,8.0,8.0,8.0,4.0,4.0,3,2002,2002,0,2,2.0
befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,1,1,8.0,8.0,8.0,4.0,5.0,2,2005,2005,0,4,3.0
c0c07821-7fc4-588e-b60c-76a25347a9eb,David Gil,1,1,8.0,8.0,8.0,4.0,4.0,2,2021,2021,0,1,5.0
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,2,2,8.0,8.0,8.0,4.0,5.0,6,2012,2019,7,57,1.0
d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,1,1,8.0,8.0,8.0,2.667,3.0,3,2006,2006,0,3,1.0
e34eef4f-ee11-5919-ba62-9db5d0489e83,Ivan Iakimenko,1,1,8.0,8.0,8.0,2.667,3.0,2,2018,2018,0,3,7.0
ef902cd4-83ed-574e-8fb6-06f76e2c2258,Liam Johnston,1,1,8.0,8.0,8.0,4.0,5.0,2,2003,2003,0,3,3.0
f334c26d-1895-5e09-a1dd-96735ae0389a,Takao Wakou,1,1,8.0,8.0,8.0,4.0,5.0,2,2021,2021,0,0,
f3627296-7396-580c-90ac-ad13b76da7b5,Matthew Kemmer,1,1,8.0,8.0,8.0,2.667,3.0,5,2018,2018,0,22,1.0
